candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,낙찰건수,최근낙찰건수,최근낙찰일,평균낙찰금액,낙찰금액합계,부정당제재,제재횟수,현재제재여부,제재종료일,매칭방식,비고
1,4710160801,유기응집제,6598802147,6598802147,주식회사 헤이치 인 헤이치(H in H),N,N,99,26,2025-12-31,149386164,14789230222.0,,,,,원천_사업자번호집계,
2,4710160801,유기응집제,2048197877,2048197877,주식회사 그린주의,N,N,78,32,2025-12-29,101501539,7917120028.45,,,,,원천_사업자번호집계,
3,4710160801,유기응집제,6768601611,6768601611,주식회사 루트웰,N,N,54,10,2025-12-30,80904342,4368834480.0,,,,,원천_사업자번호집계,
4,4710160801,유기응집제,1160724873,1160724873,나산상사,N,N,54,10,2025-12-26,64190702,3466297885.36,,,,,원천_사업자번호집계,
5,4710160801,유기응집제,1728603252,1728603252,주식회사 리즈너스,N,N,50,32,2025-12-23,57987778,2899388894.0,,,,,원천_사업자번호집계,
6,4710160801,유기응집제,1861501398,1861501398,제이에이치테크,N,N,48,12,2025-12-22,60151747,2887283840.0,,,,,원천_사업자번호집계,
7,4710160801,유기응집제,4858601669,4858601669,주식회사 모아텍,N,N,47,8,2025-12-11,118021616,5547015951.0,,,,,원천_사업자번호집계,
8,4710160801,유기응집제,1308685487,1308685487,바이오퍼스글로벌 주식회사,N,N,46,5,2025-07-07,86112151,3961158937.0,,,,,원천_사업자번호집계,
9,4710160801,유기응집제,1178186004,1178186004,주식회사 와풀,N,N,44,16,2025-09-02,212826072,9364347152.0,,,,,원천_사업자번호집계,
10,4710160801,유기응집제,5031999741,5031999741,대진통상,N,N,41,8,2025-11-27,34320722,1407149590.0,,,,,원천_사업자번호집계,
11,4710160801,유기응집제,5061739883,5061739883,연천종합물산,N,N,40,5,2025-12-10,62721173,2508846920.0,,,,,원천_사업자번호집계,
12,4710160801,유기응집제,2521201281,2521201281,에이디 커머스,N,N,37,9,2025-11-24,35807812,1324889059.0,,,,,원천_사업자번호집계,
13,4710160801,유기응집제,4645800414,4645800414,푸드라인,N,N,37,5,2025-03-25,23764461,879285056.0,,,,,원천_사업자번호집계,
14,4710160801,유기응집제,2824900315,2824900315,서울우유 신안동 고객센터,N,N,37,10,2025-12-23,20893333,773053308.82,,,,,원천_사업자번호집계,
15,4710160801,유기응집제,1488701170,1488701170,주식회사 세진에코텍,N,N,36,12,2025-12-30,164118556,5908268000.0,,,,,원천_사업자번호집계,
16,4710160801,유기응집제,7600201935,7600201935,남양우유신안동가정대리점,N,N,36,11,2025-12-24,15875546,571519650.33,,,,,원천_사업자번호집계,
17,4710160801,유기응집제,4335900794,4335900794,국가대표 선,N,N,34,20,2025-12-05,39689889,1349456230.0,,,,,원천_사업자번호집계,
18,4710160801,유기응집제,8918101078,8918101078,알파유통 주식회사,N,N,33,4,2025-09-23,38581371,1273185234.8,,,,,원천_사업자번호집계,
19,4710160801,유기응집제,7958701414,7958701414,주식회사 씨티원 충남,N,N,32,10,2025-12-31,66340780,2122904955.42,,,,,원천_사업자번호집계,
20,4710160801,유기응집제,4578801111,4578801111,주식회사 가경이앤씨,N,N,31,6,2025-12-24,224792452,6968566026.0,,,,,원천_사업자번호집계,
21,4710160801,유기응집제,1138136157,1138136157,금성이엔씨(주),N,N,31,16,2025-12-30,121369536,3762455629.79,,,,,원천_사업자번호집계,
22,4710160801,유기응집제,4098162406,4098162406,대성이엔이 주식회사,N,N,30,6,2025-12-15,316685137,9500554114.0,,,,,원천_사업자번호집계,
23,4710160801,유기응집제,3018193115,3018193115,(주)현일,N,N,30,6,2025-10-20,121277646,3638329390.0,,,,,원천_사업자번호집계,
24,4710160801,유기응집제,1942600358,1942600358,유신약품,N,N,30,14,2025-12-09,21038753,631162596.0,,,,,원천_사업자번호집계,
25,4710160801,유기응집제,4193201276,4193201276,태화기업,N,N,29,7,2025-12-30,136581825,3960872918.0,,,,,원천_사업자번호집계,
26,4710160801,유기응집제,3091861646,3091861646,모아상사,N,N,29,9,2025-12-11,101900848,2955124581.0,,,,,원천_사업자번호집계,
27,4710160801,유기응집제,3791601089,3791601089,수미테크,N,N,29,5,2025-11-05,52299541,1516686684.0,,,,,원천_사업자번호집계,
28,4710160801,유기응집제,7800601918,7800601918,서울우유안동급식고객센터,N,N,29,7,2025-12-23,12195430,353667473.47,,,,,원천_사업자번호집계,
29,4710160801,유기응집제,3141879298,3141879298,주성테크,N,N,27,12,2025-12-17,150835501,4072558520.0,,,,,원천_사업자번호집계,
30,4710160801,유기응집제,5118127226,5118127226,주식회사 마크온탑,N,N,27,7,2025-11-11,101554183,2741962939.6,,,,,원천_사업자번호집계,
31,4710160801,유기응집제,1312045032,1312045032,툴데포,N,N,27,6,2025-12-12,74542994,2012660840.0,,,,,원천_사업자번호집계,
32,4710160801,유기응집제,4108632912,4108632912,유한회사 창해,N,N,27,4,2025-08-27,54284606,1465684372.94,,,,,원천_사업자번호집계,
33,4710160801,유기응집제,5855300211,5855300211,자연가,N,N,27,4,2025-06-25,14522136,392097684.23,,,,,원천_사업자번호집계,
34,4710160801,유기응집제,1698101874,1698101874,(유)아성개발,N,N,26,6,2025-12-31,59107380,1536791890.0,,,,,원천_사업자번호집계,
35,4710160801,유기응집제,3968701707,3968701707,주식회사 명신테크,N,N,25,8,2025-12-17,208816132,5220403300.0,,,,,원천_사업자번호집계,
36,4710160801,유기응집제,7820901711,7820901711,모아테크,N,N,25,7,2025-10-27,140564705,3514117621.0,,,,,원천_사업자번호집계,
37,4710160801,유기응집제,7498801586,7498801586,(주)에이치비바이오,N,N,25,1,2025-04-21,130532443,3263311066.0,,,,,원천_사업자번호집계,
38,4710160801,유기응집제,2273001106,2273001106,서이트레이드,N,N,25,14,2025-12-16,118393728,2959843210.0,,,,,원천_사업자번호집계,
39,4710160801,유기응집제,5323701365,5323701365,케이엘컴퍼니,N,N,25,5,2025-12-15,62582238,1564555950.0,,,,,원천_사업자번호집계,
40,4710160801,유기응집제,1074471440,1074471440,선경에스엔티,N,N,25,5,2025-10-30,45028510,1125712758.0,,,,,원천_사업자번호집계,
