candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,사회적기업,사회적협동조합,자활용사촌복지공장,생산품목매칭,매칭방식,비고
1,4710160801,유기응집제,6598802147,6598802147,주식회사 헤이치 인 헤이치(H in H),N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
2,4710160801,유기응집제,2048197877,2048197877,주식회사 그린주의,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
3,4710160801,유기응집제,6768601611,6768601611,주식회사 루트웰,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
4,4710160801,유기응집제,1160724873,1160724873,나산상사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
5,4710160801,유기응집제,1728603252,1728603252,주식회사 리즈너스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
6,4710160801,유기응집제,1861501398,1861501398,제이에이치테크,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
7,4710160801,유기응집제,4858601669,4858601669,주식회사 모아텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
8,4710160801,유기응집제,1308685487,1308685487,바이오퍼스글로벌 주식회사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
9,4710160801,유기응집제,1178186004,1178186004,주식회사 와풀,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
10,4710160801,유기응집제,5031999741,5031999741,대진통상,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
11,4710160801,유기응집제,5061739883,5061739883,연천종합물산,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
12,4710160801,유기응집제,2521201281,2521201281,에이디 커머스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
13,4710160801,유기응집제,4645800414,4645800414,푸드라인,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
14,4710160801,유기응집제,2824900315,2824900315,서울우유 신안동 고객센터,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
15,4710160801,유기응집제,1488701170,1488701170,주식회사 세진에코텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
16,4710160801,유기응집제,7600201935,7600201935,남양우유신안동가정대리점,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
