candidate_id,물품번호,물품명,사업자번호_정규화,업체명,물품별_AI순위,전체_AI순위,AI예측점수,규칙기반_균형형_물품별순위,규칙기반_균형형_전체순위,규칙기반_균형형점수,대표물품,제조업체,낙찰건수,최근낙찰건수,부정당제재,현재제재여부,창업기업,장애인표준사업장
301,4010160101,송풍기,3050743164,컴텍시스템,1,86,0.166767,1,15,34.3875,0.0,0.0,99.0,20.0,0.0,0.0,0.0,0.0
302,4010160101,송풍기,2048197877,주식회사 그린주의,2,120,0.088165,2,16,34.1527,0.0,0.0,78.0,32.0,0.0,0.0,0.0,0.0
349,4010160101,송풍기,3271901186,엠에이치테크,3,129,0.067316,44,306,15.7845,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0
338,4010160101,송풍기,2292401057,클로버,4,147,0.040038,47,316,15.3548,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0
304,4010160101,송풍기,1228646713,주식회사 새론아이,5,149,0.038777,10,85,25.5796,0.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0
334,4010160101,송풍기,3020561946,다옴,6,164,0.02801,31,226,18.4103,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0
314,4010160101,송풍기,1428800715,주식회사 유진랩,7,190,0.018788,19,145,22.6518,0.0,0.0,41.0,3.0,0.0,0.0,0.0,0.0
320,4010160101,송풍기,1288686770,주식회사 메디시온,8,218,0.014902,21,154,22.3446,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0
344,4010160101,송풍기,7807000278,번개상사,9,228,0.013908,35,270,17.1023,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0
311,4010160101,송풍기,5295500699,비에스에스,10,236,0.012634,6,68,26.7971,0.0,0.0,46.0,14.0,0.0,0.0,0.0,0.0
305,4010160101,송풍기,7620400047,에스지에스,11,238,0.01261,5,61,27.0672,0.0,0.0,57.0,8.0,0.0,0.0,0.0,0.0
322,4010160101,송풍기,6671900936,제이디아이(JDI),12,239,0.012454,27,202,19.6404,0.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0
340,4010160101,송풍기,8891000019,동행상사,13,241,0.012045,43,297,16.2449,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0
328,4010160101,송풍기,2273001106,서이트레이드,14,254,0.010589,17,129,23.3693,0.0,0.0,25.0,14.0,0.0,0.0,0.0,0.0
332,4010160101,송풍기,1218641961,주식회사 이안코리아,15,284,0.00789,42,295,16.2453,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0
307,4010160101,송풍기,7394000782,더원컴퍼니,16,294,0.007468,16,125,23.4637,0.0,0.0,51.0,2.0,0.0,0.0,0.0,0.0
330,4010160101,송풍기,2068693703,(주)원포인트 듀오,17,297,0.007353,24,182,20.534,0.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0
342,4010160101,송풍기,1218186809,(주)씨티원서비스,18,300,0.007177,50,369,12.8204,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
327,4010160101,송풍기,2166700331,디오세이프티(DO SAFETY),19,302,0.006949,28,204,19.5347,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0
313,4010160101,송풍기,6122552599,안가,20,303,0.006942,4,58,27.1033,0.0,0.0,42.0,14.0,0.0,0.0,0.0,0.0
333,4010160101,송풍기,2803701009,오성,21,312,0.00661,36,277,16.8523,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0
309,4010160101,송풍기,4858601669,주식회사 모아텍,22,313,0.006586,7,74,26.7197,0.0,0.0,47.0,8.0,0.0,0.0,0.0,0.0
337,4010160101,송풍기,3532200610,자한티씨,23,326,0.005992,41,294,16.2493,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0
321,4010160101,송풍기,7958701414,주식회사 씨티원 충남,24,331,0.005737,15,120,23.6337,0.0,0.0,32.0,10.0,0.0,0.0,0.0,0.0
323,4010160101,송풍기,3091861646,모아상사,25,337,0.005542,18,137,23.1477,0.0,0.0,29.0,9.0,0.0,0.0,0.0,0.0
347,4010160101,송풍기,3682700131,경은상회,26,339,0.005478,46,315,15.3659,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0
336,4010160101,송풍기,4088166210,주식회사 엔디,27,341,0.005424,39,289,16.4345,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0
