물품별_AI순위,전체_AI순위,candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,AI예측점수,대표물품,제조업체,공급품목등록후_경과일수,공급품목등록후_경과일수_log,업체_등록품목수,업체_동일대분류등록수,업체_동일분류공급품목수,업체_동일중분류등록수,업체_동일소분류등록수,업체_대표물품등록수,업체_제조품목등록수,품목_공급업체수,품목_대표물품업체수,품목_제조업체수,품목_제조업체비율,품목_대표물품비율,품목_평균참가업체수,품목_평균참가업체수_log,품목_경쟁강도,이전전체낙찰건수,이전동일품목낙찰건수,해당물품_과거낙찰건수,이전동일대분류낙찰건수,최근365일낙찰건수,최근낙찰일_경과일수,최근낙찰일_경과일수_log,이전낙찰금액합계_log,참가업체수_log,물품번호_prefix2,물품번호_prefix4,물품번호_prefix6,창업기업,장애인표준사업장,사회적기업,부정당제재,제재종료후_경과일수,제재종료후_경과일수_log
1,86,301,4010160101,송풍기,3050743164,3050743164,컴텍시스템,0.166767,0.0,0.0,1499.0,7.313220387090301,14.0,2.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,99.0,0.0,0.0,0.0,11.0,151.0,5.0238805208462765,22.77545809127964,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120,302,4010160101,송풍기,2048197877,2048197877,주식회사 그린주의,0.088165,0.0,0.0,382.0,5.948034989180646,87.0,4.0,4.0,4.0,1.0,0.0,4.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,78.0,0.0,0.0,0.0,19.0,131.0,4.882801922586371,22.792293343997162,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
3,129,349,4010160101,송풍기,3271901186,3271901186,엠에이치테크,0.067316,0.0,0.0,1124.0,7.025538314638521,17.0,1.0,1.0,1.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,16.0,0.0,0.0,0.0,3.0,344.0,5.84354441703136,20.996259562611176,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
4,147,338,4010160101,송풍기,2292401057,2292401057,클로버,0.040038,0.0,0.0,1114.0,7.016609683894219,279.0,10.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,19.0,1.0,1.0,1.0,1.0,285.0,5.655991810819852,20.455692291260235,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
5,149,304,4010160101,송풍기,1228646713,1228646713,주식회사 새론아이,0.038777,0.0,0.0,1112.0,7.014814351275545,285.0,10.0,3.0,3.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,58.0,1.0,1.0,1.0,1.0,311.0,5.7430031878094825,22.295208575475716,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
6,164,334,4010160101,송풍기,3020561946,3020561946,다옴,0.02801,0.0,0.0,1124.0,7.025538314638521,41.0,1.0,1.0,1.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,19.0,0.0,0.0,0.0,5.0,190.0,5.25227342804663,20.962367222824298,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
7,190,314,4010160101,송풍기,1428800715,1428800715,주식회사 유진랩,0.018788,0.0,0.0,1124.0,7.025538314638521,40.0,3.0,3.0,3.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,41.0,0.0,0.0,0.0,2.0,155.0,5.049856007249537,21.73819116607521,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
8,218,320,4010160101,송풍기,1288686770,1288686770,주식회사 메디시온,0.014902,0.0,0.0,1114.0,7.016609683894219,228.0,10.0,2.0,2.0,1.0,0.0,12.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,32.0,0.0,0.0,1.0,2.0,344.0,5.84354441703136,22.250080599499526,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
9,228,344,4010160101,송풍기,7807000278,7807000278,번개상사,0.013908,0.0,0.0,1114.0,7.016609683894219,206.0,9.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,17.0,0.0,0.0,1.0,1.0,365.0,5.902633333401366,21.24000779801876,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
10,236,311,4010160101,송풍기,5295500699,5295500699,비에스에스,0.012634,0.0,0.0,1121.0,7.022868086082641,230.0,7.0,3.0,3.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,46.0,0.0,0.0,1.0,7.0,150.0,5.017279836814924,21.438613923494515,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
