metric,value
test_events,804.0
hit_at_1,0.522388
hit_at_3,0.705224
hit_at_5,0.789801
mrr,0.645592
train_positive_rate,0.092801
test_positive_rate,0.033408
train_positive_score_mean,0.493469
train_negative_score_mean,0.051237
test_positive_score_mean,0.453297
test_negative_score_mean,0.052894
unmatched_item_awards,237406
matched_but_winner_not_in_prior_supply_pool,54411
train_positive_events,1409
train_rows,15183
test_positive_events,804
test_rows,24066
train_rows,15183
test_rows,24066
train_negative_samples_per_event,10
test_negative_samples_per_event,30
