feature,importance,raw_importance
업체_등록품목수,0.435107,0.324867
공급품목등록후_경과일수,0.092489,0.069056
제조업체,0.087346,0.065216
품목_제조업체비율,0.079783,0.059569
참가업체수_log,0.061258,0.045738
이전낙찰금액합계_log,0.042339,0.031612
품목_공급업체수,0.036401,0.027179
최근365일낙찰건수,0.026144,0.01952
업체_동일대분류등록수,0.022281,0.016636
품목_제조업체수,0.020061,0.014978
품목_대표물품비율,0.019934,0.014883
이전동일품목낙찰건수,0.016615,0.012405
이전동일대분류낙찰건수,0.016335,0.012196
최근낙찰일_경과일수,0.012242,0.009141
이전전체낙찰건수,0.007946,0.005933
업체_제조품목등록수,0.00505,0.003771
물품번호_prefix4,0.004604,0.003438
물품번호_prefix6,0.004103,0.003063
품목_평균참가업체수,0.002945,0.002199
대표물품,0.001627,0.001215
업체_동일분류공급품목수,0.001131,0.000845
물품번호_prefix2,0.000942,0.000703
품목_경쟁강도,0.000674,0.000503
공급품목등록후_경과일수_log,0.0,0.0
업체_동일중분류등록수,0.0,0.0
품목_평균참가업체수_log,0.0,0.0
해당물품_과거낙찰건수,0.0,0.0
최근낙찰일_경과일수_log,0.0,0.0
창업기업,0.0,0.0
장애인표준사업장,0.0,0.0
부정당제재,0.0,0.0
제재종료후_경과일수,0.0,0.0
제재종료후_경과일수_log,0.0,0.0
사회적기업,3.9e-05,-2.9e-05
업체_동일소분류등록수,0.000142,-0.000106
품목_대표물품업체수,0.001137,-0.000849
업체_대표물품등록수,0.001324,-0.000989
