프리셋,피처,가중치,방향,정규화,사용여부,설명
균형형,대표물품,5,가점,binary,Y,선택 물품이 대표물품인지
균형형,제조업체,5,가점,binary,Y,제조 가능 등록 여부
균형형,낙찰건수,20,가점,log_minmax,Y,과거 낙찰 건수
균형형,최근낙찰건수,10,가점,log_minmax,Y,최근 기간 내 낙찰 건수
균형형,낙찰금액합계,10,가점,log_minmax,Y,과거 낙찰 금액 합계
균형형,창업기업,8,가점,binary,Y,창업기업 확인 여부
균형형,사회적기업,10,가점,binary,Y,사회적기업 여부
균형형,사회적협동조합,7,가점,binary,Y,사회적협동조합 여부
균형형,장애인표준사업장,10,가점,binary,Y,장애인 표준사업장 여부
균형형,공공구매인증서,5,가점,binary,Y,공공구매 인증서 보유 여부
균형형,자활용사촌복지공장,5,가점,binary,Y,자활용사촌 복지공장 여부
균형형,생산품목매칭,5,가점,binary,Y,candidate_id 기준 생산품목 매칭 여부
균형형,부정당제재,100,감점,binary,Y,현재 부정당제재 여부
균형형,현재제재여부,60,감점,binary,Y,현재 제재 중인 업체 여부
안정성 중심,대표물품,5,가점,binary,Y,선택 물품이 대표물품인지
안정성 중심,제조업체,10,가점,binary,Y,제조 가능 등록 여부
안정성 중심,낙찰건수,30,가점,log_minmax,Y,과거 낙찰 건수
안정성 중심,최근낙찰건수,20,가점,log_minmax,Y,최근 기간 내 낙찰 건수
안정성 중심,낙찰금액합계,20,가점,log_minmax,Y,과거 낙찰 금액 합계
안정성 중심,창업기업,3,가점,binary,Y,창업기업 확인 여부
안정성 중심,사회적기업,5,가점,binary,Y,사회적기업 여부
안정성 중심,사회적협동조합,3,가점,binary,Y,사회적협동조합 여부
안정성 중심,장애인표준사업장,5,가점,binary,Y,장애인 표준사업장 여부
안정성 중심,공공구매인증서,2,가점,binary,Y,공공구매 인증서 보유 여부
안정성 중심,자활용사촌복지공장,2,가점,binary,Y,자활용사촌 복지공장 여부
안정성 중심,생산품목매칭,2,가점,binary,Y,candidate_id 기준 생산품목 매칭 여부
안정성 중심,부정당제재,120,감점,binary,Y,현재 부정당제재 여부
안정성 중심,현재제재여부,80,감점,binary,Y,현재 제재 중인 업체 여부
사회적 가치 중심,대표물품,2,가점,binary,Y,선택 물품이 대표물품인지
사회적 가치 중심,제조업체,3,가점,binary,Y,제조 가능 등록 여부
사회적 가치 중심,낙찰건수,5,가점,log_minmax,Y,과거 낙찰 건수
사회적 가치 중심,최근낙찰건수,5,가점,log_minmax,Y,최근 기간 내 낙찰 건수
사회적 가치 중심,낙찰금액합계,5,가점,log_minmax,Y,과거 낙찰 금액 합계
사회적 가치 중심,창업기업,15,가점,binary,Y,창업기업 확인 여부
사회적 가치 중심,사회적기업,20,가점,binary,Y,사회적기업 여부
사회적 가치 중심,사회적협동조합,15,가점,binary,Y,사회적협동조합 여부
사회적 가치 중심,장애인표준사업장,20,가점,binary,Y,장애인 표준사업장 여부
사회적 가치 중심,공공구매인증서,5,가점,binary,Y,공공구매 인증서 보유 여부
사회적 가치 중심,자활용사촌복지공장,5,가점,binary,Y,자활용사촌 복지공장 여부
사회적 가치 중심,생산품목매칭,10,가점,binary,Y,candidate_id 기준 생산품목 매칭 여부
사회적 가치 중심,부정당제재,100,감점,binary,Y,현재 부정당제재 여부
사회적 가치 중심,현재제재여부,50,감점,binary,Y,현재 제재 중인 업체 여부
위험 회피 중심,대표물품,3,가점,binary,Y,선택 물품이 대표물품인지
위험 회피 중심,제조업체,7,가점,binary,Y,제조 가능 등록 여부
위험 회피 중심,낙찰건수,25,가점,log_minmax,Y,과거 낙찰 건수
위험 회피 중심,최근낙찰건수,15,가점,log_minmax,Y,최근 기간 내 낙찰 건수
위험 회피 중심,낙찰금액합계,15,가점,log_minmax,Y,과거 낙찰 금액 합계
위험 회피 중심,창업기업,5,가점,binary,Y,창업기업 확인 여부
위험 회피 중심,사회적기업,8,가점,binary,Y,사회적기업 여부
위험 회피 중심,사회적협동조합,5,가점,binary,Y,사회적협동조합 여부
위험 회피 중심,장애인표준사업장,8,가점,binary,Y,장애인 표준사업장 여부
위험 회피 중심,공공구매인증서,4,가점,binary,Y,공공구매 인증서 보유 여부
위험 회피 중심,자활용사촌복지공장,5,가점,binary,Y,자활용사촌 복지공장 여부
위험 회피 중심,생산품목매칭,5,가점,binary,Y,candidate_id 기준 생산품목 매칭 여부
위험 회피 중심,부정당제재,200,감점,binary,Y,현재 부정당제재 여부
위험 회피 중심,현재제재여부,150,감점,binary,Y,현재 제재 중인 업체 여부
