candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체
1,4710160801,유기응집제,6598802147,6598802147,주식회사 헤이치 인 헤이치(H in H),N,N
2,4710160801,유기응집제,2048197877,2048197877,주식회사 그린주의,N,N
3,4710160801,유기응집제,6768601611,6768601611,주식회사 루트웰,N,N
4,4710160801,유기응집제,1160724873,1160724873,나산상사,N,N
5,4710160801,유기응집제,1728603252,1728603252,주식회사 리즈너스,N,N
6,4710160801,유기응집제,1861501398,1861501398,제이에이치테크,N,N
7,4710160801,유기응집제,4858601669,4858601669,주식회사 모아텍,N,N
8,4710160801,유기응집제,1308685487,1308685487,바이오퍼스글로벌 주식회사,N,N
9,4710160801,유기응집제,1178186004,1178186004,주식회사 와풀,N,N
10,4710160801,유기응집제,5031999741,5031999741,대진통상,N,N
11,4710160801,유기응집제,5061739883,5061739883,연천종합물산,N,N
12,4710160801,유기응집제,2521201281,2521201281,에이디 커머스,N,N
13,4710160801,유기응집제,4645800414,4645800414,푸드라인,N,N
14,4710160801,유기응집제,2824900315,2824900315,서울우유 신안동 고객센터,N,N
15,4710160801,유기응집제,1488701170,1488701170,주식회사 세진에코텍,N,N
16,4710160801,유기응집제,7600201935,7600201935,남양우유신안동가정대리점,N,N
17,4710160801,유기응집제,4335900794,4335900794,국가대표 선,N,N
18,4710160801,유기응집제,8918101078,8918101078,알파유통 주식회사,N,N
19,4710160801,유기응집제,7958701414,7958701414,주식회사 씨티원 충남,N,N
20,4710160801,유기응집제,4578801111,4578801111,주식회사 가경이앤씨,N,N
21,4710160801,유기응집제,1138136157,1138136157,금성이엔씨(주),N,N
22,4710160801,유기응집제,4098162406,4098162406,대성이엔이 주식회사,N,N
23,4710160801,유기응집제,3018193115,3018193115,(주)현일,N,N
24,4710160801,유기응집제,1942600358,1942600358,유신약품,N,N
25,4710160801,유기응집제,4193201276,4193201276,태화기업,N,N
26,4710160801,유기응집제,3091861646,3091861646,모아상사,N,N
27,4710160801,유기응집제,3791601089,3791601089,수미테크,N,N
28,4710160801,유기응집제,7800601918,7800601918,서울우유안동급식고객센터,N,N
29,4710160801,유기응집제,3141879298,3141879298,주성테크,N,N
30,4710160801,유기응집제,5118127226,5118127226,주식회사 마크온탑,N,N
31,4710160801,유기응집제,1312045032,1312045032,툴데포,N,N
32,4710160801,유기응집제,4108632912,4108632912,유한회사 창해,N,N
33,4710160801,유기응집제,5855300211,5855300211,자연가,N,N
34,4710160801,유기응집제,1698101874,1698101874,(유)아성개발,N,N
35,4710160801,유기응집제,3968701707,3968701707,주식회사 명신테크,N,N
36,4710160801,유기응집제,7820901711,7820901711,모아테크,N,N
37,4710160801,유기응집제,7498801586,7498801586,(주)에이치비바이오,N,N
38,4710160801,유기응집제,2273001106,2273001106,서이트레이드,N,N
39,4710160801,유기응집제,5323701365,5323701365,케이엘컴퍼니,N,N
40,4710160801,유기응집제,1074471440,1074471440,선경에스엔티,N,N
41,4710160801,유기응집제,4038183209,4038183209,탑아이티 주식회사,N,N
42,4710160801,유기응집제,8062001161,8062001161,거성산업,N,N
43,4710160801,유기응집제,7390302693,7390302693,대한시스텍,N,N
44,4710160801,유기응집제,5088138412,5088138412,"농업회사법인디엔에이주식회사(D.N.A. Co., Ltd)",N,N
45,4710160801,유기응집제,1222645933,1222645933,디자인 청호,N,N
46,4710160801,유기응집제,1790200940,1790200940,필 글로벌(PHIL GLOBAL),N,N
47,4710160801,유기응집제,4344300627,4344300627,대산이엔지,N,N
48,4710160801,유기응집제,2838102688,2838102688,주식회사 비젼바이오,N,Y
49,4710160801,유기응집제,5331002128,5331002128,시지에이치,N,N
50,4710160801,유기응집제,1138163993,1138163993,한성중공업(주),N,N
51,4111331901,기타수질분석기,1148604783,1148604783,써모피셔사이언티픽솔루션스 유한회사,N,N
52,4111331901,기타수질분석기,6218701961,6218701961,주식회사이지랩,N,N
53,4111331901,기타수질분석기,2108159349,2108159349,주식회사 피디원 (PDONE),N,N
54,4111331901,기타수질분석기,1728603252,1728603252,주식회사 리즈너스,N,N
55,4111331901,기타수질분석기,1308123448,1308123448,호리바코리아(주),N,N
56,4111331901,기타수질분석기,2068627654,2068627654,주식회사 원캐스트,N,N
57,4111331901,기타수질분석기,5938702267,5938702267,주식회사 이솔사이언스,N,N
58,4111331901,기타수질분석기,2078802795,2078802795,주식회사 클라우드소프트,N,N
59,4111331901,기타수질분석기,1348121423,1348121423,주식회사 서전기전,N,N
60,4111331901,기타수질분석기,8235600263,8235600263,제이퍼블리코,N,N
61,4111331901,기타수질분석기,2824900315,2824900315,서울우유 신안동 고객센터,N,N
62,4111331901,기타수질분석기,7600201935,7600201935,남양우유신안동가정대리점,N,N
63,4111331901,기타수질분석기,2852501641,2852501641,유니플러스,N,N
64,4111331901,기타수질분석기,3328802499,3328802499,주식회사 루트텍,N,N
65,4111331901,기타수질분석기,6168157632,6168157632,주식회사 대은계전,N,Y
66,4111331901,기타수질분석기,2568802462,2568802462,주식회사 연승,N,N
67,4111331901,기타수질분석기,2051667999,2051667999,만선테크,N,N
68,4111331901,기타수질분석기,5151604381,5151604381,연택테크,N,N
69,4111331901,기타수질분석기,3658800905,3658800905,주식회사 가나이엔지,N,N
70,4111331901,기타수질분석기,5118127226,5118127226,주식회사 마크온탑,N,N
71,4111331901,기타수질분석기,6200244688,6200244688,피앤에스,N,N
72,4111331901,기타수질분석기,2188101953,2188101953,주식회사 비츠로시스,N,N
73,4111331901,기타수질분석기,6348600656,6348600656,주식회사비전제어시스템,N,N
74,4111331901,기타수질분석기,5828101679,5828101679,주식회사 비에이치,Y,N
75,4111331901,기타수질분석기,4181202459,4181202459,아이들문구,N,N
76,4111331901,기타수질분석기,4038183209,4038183209,탑아이티 주식회사,N,N
77,4111331901,기타수질분석기,2150235895,2150235895,모두사랑,N,N
78,4111331901,기타수질분석기,1238154375,1238154375,주식회사 씨케이테크피아,N,Y
79,4111331901,기타수질분석기,6918600192,6918600192,주식회사 엘티에스바이오,N,N
80,4111331901,기타수질분석기,1322366711,1322366711,드림팩토리,N,N
81,4111331901,기타수질분석기,8218801326,8218801326,주식회사 가은메탈,N,N
82,4111331901,기타수질분석기,4721301373,4721301373,어진컴퍼니,N,N
83,4111331901,기타수질분석기,5102410281,5102410281,세진싸이언스,N,N
84,4111331901,기타수질분석기,2903101270,2903101270,다인에스티,N,N
85,4111331901,기타수질분석기,8612101471,8612101471,테라물라,N,N
86,4111331901,기타수질분석기,6938600164,6938600164,주식회사 마한건설조명,N,N
87,4111331901,기타수질분석기,6091669087,6091669087,대광산업,N,N
88,4111331901,기타수질분석기,8891000019,8891000019,동행상사,N,N
89,4111331901,기타수질분석기,4040197932,4040197932,삼미상사,N,N
90,4111331901,기타수질분석기,4098116407,4098116407,주식회사탑원산업,N,N
91,4111331901,기타수질분석기,2938701844,2938701844,주식회사 성은공조,N,N
92,4111331901,기타수질분석기,1378604597,1378604597,주식회사 선진일렉텍,N,N
93,4111331901,기타수질분석기,1458102877,1458102877,주식회사 오성테크,N,N
94,4111331901,기타수질분석기,6502401417,6502401417,선유통,N,N
95,4111331901,기타수질분석기,2081552260,2081552260,제주드림코리아,N,N
96,4111331901,기타수질분석기,2023505919,2023505919,연홍코퍼레이션,N,N
97,4111331901,기타수질분석기,6108108303,6108108303,대성자원개발 주식회사,N,N
98,4111331901,기타수질분석기,3052389947,3052389947,미래코리아비지니스,N,N
99,4111331901,기타수질분석기,2363501430,2363501430,디피에스테크놀로지,N,N
100,4111331901,기타수질분석기,1308646112,1308646112,주식회사아이티베이스,N,N
101,4016150601,여과장치,8278602014,8278602014,주식회사 혼정보통신,N,N
102,4016150601,여과장치,5038134949,5038134949,(주)이코우,N,Y
103,4016150601,여과장치,7620400047,7620400047,에스지에스,N,N
104,4016150601,여과장치,7394000782,7394000782,더원컴퍼니,N,N
105,4016150601,여과장치,7278602368,7278602368,주식회사 숨,N,N
106,4016150601,여과장치,4858601669,4858601669,주식회사 모아텍,N,N
107,4016150601,여과장치,4555100293,4555100293,로드파크,N,N
108,4016150601,여과장치,2078802795,2078802795,주식회사 클라우드소프트,N,N
109,4016150601,여과장치,7810302068,7810302068,에이스건설산업,N,N
110,4016150601,여과장치,6870700558,6870700558,에스엠제이,N,N
111,4016150601,여과장치,7958701414,7958701414,주식회사 씨티원 충남,N,N
112,4016150601,여과장치,6671900936,6671900936,제이디아이(JDI),N,N
113,4016150601,여과장치,4578801111,4578801111,주식회사 가경이앤씨,N,N
114,4016150601,여과장치,3058149402,3058149402,주식회사 아워스,N,N
115,4016150601,여과장치,4098162406,4098162406,대성이엔이 주식회사,N,Y
116,4016150601,여과장치,3091861646,3091861646,모아상사,N,N
117,4016150601,여과장치,8578100569,8578100569,(주)제이인터내셔날,N,N
118,4016150601,여과장치,7511001877,7511001877,비피엔,N,N
119,4016150601,여과장치,6068120439,6068120439,(주)네가트론,N,Y
120,4016150601,여과장치,6231501484,6231501484,다온상사,N,N
121,4016150601,여과장치,1138196062,1138196062,주식회사 케이에스엔텍,N,N
122,4016150601,여과장치,7820901711,7820901711,모아테크,N,N
123,4016150601,여과장치,2273001106,2273001106,서이트레이드,N,N
124,4016150601,여과장치,7390302693,7390302693,대한시스텍,N,N
125,4016150601,여과장치,2702501178,2702501178,도담,N,N
126,4016150601,여과장치,1608803078,1608803078,유명이엔지주식회사,N,Y
127,4016150601,여과장치,4551701809,4551701809,니즈스토리,N,N
128,4016150601,여과장치,7117800297,7117800297,한나유통,N,N
129,4016150601,여과장치,3978101727,3978101727,디에스엔텍 주식회사,N,Y
130,4016150601,여과장치,4601501321,4601501321,토마토,N,N
131,4016150601,여과장치,2803701009,2803701009,오성,N,N
132,4016150601,여과장치,8612101471,8612101471,테라물라,N,N
133,4016150601,여과장치,3294700944,3294700944,우주유통,N,N
134,4016150601,여과장치,2168148122,2168148122,주식회사 르몽드인터내셔널,N,N
135,4016150601,여과장치,1371217543,1371217543,청진유통,N,N
136,4016150601,여과장치,3061864998,3061864998,에스코,N,N
137,4016150601,여과장치,3883001492,3883001492,유엔글로벌,N,N
138,4016150601,여과장치,7608100625,7608100625,대신이엔텍 주식회사,N,Y
139,4016150601,여과장치,1218186809,1218186809,(주)씨티원서비스,N,N
140,4016150601,여과장치,5568101156,5568101156,주식회사 우리에이치알컴퍼니,N,N
141,4016150601,여과장치,6990302508,6990302508,해리엔터프라이즈,N,N
142,4016150601,여과장치,5073600534,5073600534,엔젤테크,N,N
143,4016150601,여과장치,6502401417,6502401417,선유통,N,N
144,4016150601,여과장치,4210602677,4210602677,구름미디어,N,N
145,4016150601,여과장치,3148612199,3148612199,주식회사 유노미아,N,N
146,4016150601,여과장치,5918100427,5918100427,주식회사 수연티앤씨,N,N
147,4016150601,여과장치,6706200447,6706200447,에스엔컴퍼니,N,N
148,4016150601,여과장치,2081552260,2081552260,제주드림코리아,N,N
149,4016150601,여과장치,7342101806,7342101806,나노시스,N,N
150,4016150601,여과장치,2010989673,2010989673,사회문화＆세무정보사,N,N
151,4710160802,무기응집제,6768601611,6768601611,주식회사 루트웰,N,N
152,4710160802,무기응집제,1160724873,1160724873,나산상사,N,N
153,4710160802,무기응집제,1728603252,1728603252,주식회사 리즈너스,N,N
154,4710160802,무기응집제,1178186004,1178186004,주식회사 와풀,N,N
155,4710160802,무기응집제,5031999741,5031999741,대진통상,N,N
156,4710160802,무기응집제,2521201281,2521201281,에이디 커머스,N,N
157,4710160802,무기응집제,1488701170,1488701170,주식회사 세진에코텍,N,N
158,4710160802,무기응집제,2852501641,2852501641,유니플러스,N,N
159,4710160802,무기응집제,1058649262,1058649262,주식회사 노하우전기통신,N,N
160,4710160802,무기응집제,2092569555,2092569555,탑에스씨,N,N
161,4710160802,무기응집제,3091861646,3091861646,모아상사,N,N
162,4710160802,무기응집제,5118127226,5118127226,주식회사 마크온탑,N,N
163,4710160802,무기응집제,8878102928,8878102928,주식회사 제이디폼,N,N
164,4710160802,무기응집제,4018140669,4018140669,(유)신성시엔시,N,N
165,4710160802,무기응집제,1138196062,1138196062,주식회사 케이에스엔텍,N,N
166,4710160802,무기응집제,7390302693,7390302693,대한시스텍,N,N
167,4710160802,무기응집제,1790200940,1790200940,필 글로벌(PHIL GLOBAL),N,N
168,4710160802,무기응집제,2838102688,2838102688,주식회사 비젼바이오,N,Y
169,4710160802,무기응집제,5331002128,5331002128,시지에이치,N,N
170,4710160802,무기응집제,2903101270,2903101270,다인에스티,N,N
171,4710160802,무기응집제,4551701809,4551701809,니즈스토리,N,N
172,4710160802,무기응집제,4018700204,4018700204,(주)도원에코텍,N,N
173,4710160802,무기응집제,6938600164,6938600164,주식회사 마한건설조명,N,N
174,4710160802,무기응집제,3883001492,3883001492,유엔글로벌,N,N
175,4710160802,무기응집제,6832501020,6832501020,성희기업,N,N
176,4710160802,무기응집제,1170866553,1170866553,대지come,N,N
177,4710160802,무기응집제,6061799594,6061799594,태일공구종합상사,N,N
178,4710160802,무기응집제,6502401417,6502401417,선유통,N,N
179,4710160802,무기응집제,5038128637,5038128637,(주)로얄정공,N,N
180,4710160802,무기응집제,6706200447,6706200447,에스엔컴퍼니,N,N
181,4710160802,무기응집제,1798102185,1798102185,주식회사 디오르마,N,N
182,4710160802,무기응집제,6062453261,6062453261,대광엘에스,N,N
183,4710160802,무기응집제,4508801309,4508801309,주식회사 엄지,N,N
184,4710160802,무기응집제,2218702533,2218702533,주식회사 이화진,N,N
185,4710160802,무기응집제,5250802328,5250802328,일호컴퍼니,N,N
186,4710160802,무기응집제,2638802174,2638802174,제이컴주식회사,N,N
187,4710160802,무기응집제,5762601388,5762601388,에스와이상사,N,N
188,4710160802,무기응집제,4410801337,4410801337,엔플,N,N
189,4710160802,무기응집제,1868702400,1868702400,주식회사 그린아이앤티,N,N
190,4710160802,무기응집제,2372201447,2372201447,제이에스씨 코퍼레이션,N,N
191,4710160802,무기응집제,1058739873,1058739873,신풍종합개발 주식회사,N,N
192,4710160802,무기응집제,7048802729,7048802729,에스클래스주식회사,N,N
193,4710160802,무기응집제,1081832612,1081832612,에이치아이엠,N,N
194,4710160802,무기응집제,2840702041,2840702041,대원,N,N
195,4710160802,무기응집제,1664901007,1664901007,비키,N,N
196,4710160802,무기응집제,2218116734,2218116734,(주)용두애브컴,Y,N
197,4710160802,무기응집제,6211381305,6211381305,대림로어패럴,N,N
198,4710160802,무기응집제,4131501117,4131501117,부농,N,N
199,4710160802,무기응집제,1078738448,1078738448,(주) 정토산업,N,N
200,4710160802,무기응집제,4448101663,4448101663,주식회사 지엔씨,N,N
201,4710169801,수처리용여과재,4178105425,4178105425,우석이엔지 주식회사,N,N
202,4710169801,수처리용여과재,2201501330,2201501330,태정,N,N
203,4710169801,수처리용여과재,4188153158,4188153158,주식회사 신성씨엔에스,N,N
204,4710169801,수처리용여과재,1861501398,1861501398,제이에이치테크,N,N
205,4710169801,수처리용여과재,4038104830,4038104830,주식회사 대성안전개발,N,N
206,4710169801,수처리용여과재,6088601170,6088601170,케이원산업 주식회사,N,N
207,4710169801,수처리용여과재,2521201281,2521201281,에이디 커머스,N,N
208,4710169801,수처리용여과재,2650101980,2650101980,경기모아상사,N,N
209,4710169801,수처리용여과재,1700702117,1700702117,에스앤디,N,N
210,4710169801,수처리용여과재,2568802462,2568802462,주식회사 연승,N,N
211,4710169801,수처리용여과재,6068659002,6068659002,(주)씨앤씨솔루션,N,N
212,4710169801,수처리용여과재,5118127226,5118127226,주식회사 마크온탑,N,N
213,4710169801,수처리용여과재,8878102928,8878102928,주식회사 제이디폼,N,N
214,4710169801,수처리용여과재,1698101874,1698101874,(유)아성개발,N,N
215,4710169801,수처리용여과재,6835400773,6835400773,삼우,N,N
216,4710169801,수처리용여과재,7820901711,7820901711,모아테크,Y,N
217,4710169801,수처리용여과재,1168170950,1168170950,삼천리활성탄소(주),Y,N
218,4710169801,수처리용여과재,8062001161,8062001161,거성산업,N,N
219,4710169801,수처리용여과재,1982100388,1982100388,제이케이컴퍼니,N,N
220,4710169801,수처리용여과재,4121425031,4121425031,건아,N,N
221,4710169801,수처리용여과재,2903101270,2903101270,다인에스티,N,N
222,4710169801,수처리용여과재,2068610605,2068610605,케이원에코텍 주식회사,N,Y
223,4710169801,수처리용여과재,3978101727,3978101727,디에스엔텍 주식회사,N,N
224,4710169801,수처리용여과재,6614200580,6614200580,미성상사,N,N
225,4710169801,수처리용여과재,1392800447,1392800447,두물기업,Y,N
226,4710169801,수처리용여과재,2691101486,2691101486,조앤테크,N,N
227,4710169801,수처리용여과재,7608100625,7608100625,대신이엔텍 주식회사,N,N
228,4710169801,수처리용여과재,2011525821,2011525821,주앤주,N,N
229,4710169801,수처리용여과재,1458102877,1458102877,주식회사 오성테크,Y,N
230,4710169801,수처리용여과재,6502401417,6502401417,선유통,N,N
231,4710169801,수처리용여과재,6101142405,6101142405,만우전기,N,N
232,4710169801,수처리용여과재,8272401230,8272401230,오정,N,N
233,4710169801,수처리용여과재,1798102185,1798102185,주식회사 디오르마,N,N
234,4710169801,수처리용여과재,1058762466,1058762466,(주)케이에이치그룹한국역사문화원,N,N
235,4710169801,수처리용여과재,3210402072,3210402072,비제이컴퍼니,N,N
236,4710169801,수처리용여과재,1318152607,1318152607,주식회사 극동 아이.씨.엠,N,N
237,4710169801,수처리용여과재,5250802328,5250802328,일호컴퍼니,N,N
238,4710169801,수처리용여과재,5253400601,5253400601,지에이치기업,N,N
239,4710169801,수처리용여과재,4450402330,4450402330,피와이테크,N,N
